pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,-0.034,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,-0.2461,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,0.1309,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,-0.414,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,0.2111,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,-0.08,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.006,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.0187,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,-0.2453,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0352,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.59,2
16,n<=128,sr<=40%,kvB<=4k,kp<=1k,-0.3317,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.3411,2
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.2264,2
16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.1089,2
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.057,2
16,n<=128,sr<=40%,kvB<=4k,kp=0,0.2977,2
16,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.1191,8
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.057,8
16,n<=128,sr<=5%,kvB<=16k,kp<=4k,-0.0237,8
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.1511,8
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,-0.0187,8
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.1976,8
16,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0225,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,-0.0023,8
16,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.0375,8
16,n<=128,sr<=5%,kvB<=1k,kp<=512,-0.0171,8
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,-0.1419,8
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.4293,8
16,n<=128,sr<=5%,kvB<=4k,kp<=1k,-0.0075,8
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,-0.0168,8
16,n<=128,sr<=5%,kvB<=4k,kp<=4k,-0.0103,8
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0151,8
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,-0.0095,8
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.2446,8
16,n<=128,sr<=70%,kvB<=16k,kp<=1k,0.0971,2
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,-0.0731,2
16,n<=128,sr<=70%,kvB<=16k,kp<=4k,-0.288,2
16,n<=128,sr<=70%,kvB<=16k,kp<=512,0.1701,2
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,-0.2193,2
16,n<=128,sr<=70%,kvB<=16k,kp=0,0.2592,2
16,n<=128,sr<=70%,kvB<=1k,kp<=1k,-0.1466,2
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,-0.327,2
16,n<=128,sr<=70%,kvB<=1k,kp<=4k,-0.4179,2
16,n<=128,sr<=70%,kvB<=1k,kp<=512,0.038,2
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,-0.1382,2
16,n<=128,sr<=70%,kvB<=1k,kp=0,1.1998,2
16,n<=128,sr<=70%,kvB<=4k,kp<=1k,-0.1989,2
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.2211,2
16,n<=128,sr<=70%,kvB<=4k,kp<=4k,-0.1925,2
16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0301,2
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,-0.2186,2
16,n<=128,sr<=70%,kvB<=4k,kp=0,0.4599,2
16,n<=128,sr>70%,kvB<=16k,kp<=1k,0.3189,4
16,n<=128,sr>70%,kvB<=16k,kp<=2k,-0.0907,4
16,n<=128,sr>70%,kvB<=16k,kp<=4k,-0.8856,4
16,n<=128,sr>70%,kvB<=16k,kp<=512,0.5332,4
16,n<=128,sr>70%,kvB<=16k,kp<=8k,-1.094,4
16,n<=128,sr>70%,kvB<=16k,kp=0,0.6473,4
16,n<=128,sr>70%,kvB<=1k,kp<=1k,-1.7376,4
16,n<=128,sr>70%,kvB<=1k,kp<=2k,-1.5888,4
16,n<=128,sr>70%,kvB<=1k,kp<=4k,-0.2298,4
16,n<=128,sr>70%,kvB<=1k,kp<=512,-1.78,4
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.9353,4
16,n<=128,sr>70%,kvB<=1k,kp=0,1.6279,4
16,n<=128,sr>70%,kvB<=4k,kp<=1k,-0.8347,4
16,n<=128,sr>70%,kvB<=4k,kp<=2k,-1.2018,4
16,n<=128,sr>70%,kvB<=4k,kp<=4k,-0.9115,4
16,n<=128,sr>70%,kvB<=4k,kp<=512,-0.0404,4
16,n<=128,sr>70%,kvB<=4k,kp<=8k,-1.4813,4
16,n<=128,sr>70%,kvB<=4k,kp=0,1.0463,4
16,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.1001,4
16,n<=16,sr<=15%,kvB<=16k,kp<=2k,0.1115,4
16,n<=16,sr<=15%,kvB<=16k,kp<=4k,-0.1057,4
16,n<=16,sr<=15%,kvB<=16k,kp<=512,0.0933,4
16,n<=16,sr<=15%,kvB<=16k,kp<=8k,-0.231,4
16,n<=16,sr<=15%,kvB<=16k,kp=0,0.1383,4
16,n<=16,sr<=15%,kvB<=1k,kp<=1k,-0.4834,3
16,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.8499,2
16,n<=16,sr<=15%,kvB<=1k,kp<=512,0.0177,4
16,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.4555,3
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.5409,4
16,n<=16,sr<=15%,kvB<=4k,kp<=1k,0.0936,4
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,-0.0014,4
16,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.1778,4
16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.0413,4
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,-0.1355,4
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.0234,4
16,n<=16,sr<=40%,kvB<=16k,kp<=1k,0.0487,4
16,n<=16,sr<=40%,kvB<=16k,kp<=2k,-0.0013,4
16,n<=16,sr<=40%,kvB<=16k,kp<=4k,0.0808,4
16,n<=16,sr<=40%,kvB<=16k,kp<=512,0.0096,4
16,n<=16,sr<=40%,kvB<=16k,kp<=8k,0.0391,4
16,n<=16,sr<=40%,kvB<=16k,kp=0,0.0968,4
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.6653,3
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,-0.0471,2
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,-0.4213,3
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.1407,4
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,-0.2923,3
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.4835,4
16,n<=16,sr<=40%,kvB<=4k,kp<=1k,0.1458,4
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,0.0182,3
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,-0.2222,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.18,4
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,-0.1537,4
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.138,4
16,n<=16,sr<=70%,kvB<=16k,kp<=1k,0.0239,2
16,n<=16,sr<=70%,kvB<=16k,kp<=2k,0.0063,1
16,n<=16,sr<=70%,kvB<=16k,kp<=512,0.0005,2
16,n<=16,sr<=70%,kvB<=16k,kp=0,0.0775,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,0.0321,1
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.3057,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,-0.0224,1
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,-0.0613,1
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.2317,2
16,n<=16,sr<=70%,kvB<=4k,kp<=1k,0.1706,1
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,0.3454,1
16,n<=16,sr<=70%,kvB<=4k,kp<=512,0.0637,2
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,-0.0582,2
16,n<=16,sr<=70%,kvB<=4k,kp=0,0.0087,2
16,n<=16,sr>70%,kvB<=16k,kp<=1k,-1.8597,4
16,n<=16,sr>70%,kvB<=16k,kp<=2k,1.1546,4
16,n<=16,sr>70%,kvB<=16k,kp<=4k,0.164,4
16,n<=16,sr>70%,kvB<=16k,kp<=512,-0.1629,4
16,n<=16,sr>70%,kvB<=16k,kp<=8k,2.0505,4
16,n<=16,sr>70%,kvB<=16k,kp=0,0.0543,4
16,n<=16,sr>70%,kvB<=1k,kp<=1k,0.4471,3
16,n<=16,sr>70%,kvB<=1k,kp<=2k,1.9343,1
16,n<=16,sr>70%,kvB<=1k,kp<=4k,-0.3611,1
16,n<=16,sr>70%,kvB<=1k,kp<=512,0.051,3
16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.7513,3
16,n<=16,sr>70%,kvB<=1k,kp=0,0.2347,3
16,n<=16,sr>70%,kvB<=4k,kp<=1k,-0.0701,3
16,n<=16,sr>70%,kvB<=4k,kp<=2k,0.1933,3
16,n<=16,sr>70%,kvB<=4k,kp<=4k,-0.0843,3
16,n<=16,sr>70%,kvB<=4k,kp<=512,1.2488,4
16,n<=16,sr>70%,kvB<=4k,kp<=8k,0.7483,3
16,n<=16,sr>70%,kvB<=4k,kp=0,0.2934,3
16,n<=2,sr<=70%,kvB<=16k,kp<=1k,0.9579,2
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,1.0642,2
16,n<=2,sr<=70%,kvB<=16k,kp<=4k,0.907,1
16,n<=2,sr<=70%,kvB<=16k,kp<=512,0.9775,2
16,n<=2,sr<=70%,kvB<=16k,kp<=8k,0.8614,2
16,n<=2,sr<=70%,kvB<=16k,kp=0,0.9407,2
16,n<=2,sr<=70%,kvB<=1k,kp<=1k,0.7291,2
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,-0.2716,1
16,n<=2,sr<=70%,kvB<=1k,kp<=4k,4.7173,1
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,1.7705,1
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.209,2
16,n<=2,sr<=70%,kvB<=4k,kp<=1k,1.2917,1
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,-0.3051,1
16,n<=2,sr<=70%,kvB<=4k,kp<=4k,0.7684,1
16,n<=2,sr<=70%,kvB<=4k,kp<=512,1.062,2
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.8372,2
16,n<=32,sr<=15%,kvB<=16k,kp<=1k,-0.1913,6
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.03,6
16,n<=32,sr<=15%,kvB<=16k,kp<=4k,0.0091,6
16,n<=32,sr<=15%,kvB<=16k,kp<=512,-0.2023,6
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,-0.0718,6
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.082,6
16,n<=32,sr<=15%,kvB<=1k,kp<=1k,-0.8607,6
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.0002,6
16,n<=32,sr<=15%,kvB<=1k,kp<=4k,-0.0537,6
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.2157,5
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.0723,4
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.5026,6
16,n<=32,sr<=15%,kvB<=4k,kp<=1k,0.2029,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,-0.0635,6
16,n<=32,sr<=15%,kvB<=4k,kp<=4k,-0.0458,6
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.1071,6
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,-0.1455,6
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.0502,6
16,n<=32,sr<=40%,kvB<=16k,kp<=1k,-0.2051,2
16,n<=32,sr<=40%,kvB<=16k,kp<=2k,-0.4394,2
16,n<=32,sr<=40%,kvB<=16k,kp<=4k,-0.1211,2
16,n<=32,sr<=40%,kvB<=16k,kp<=512,0.0734,2
16,n<=32,sr<=40%,kvB<=16k,kp<=8k,0.2993,2
16,n<=32,sr<=40%,kvB<=16k,kp=0,0.3962,2
16,n<=32,sr<=40%,kvB<=1k,kp<=1k,-0.1701,2
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,-0.2499,2
16,n<=32,sr<=40%,kvB<=1k,kp<=4k,-0.0714,1
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.3381,2
16,n<=32,sr<=40%,kvB<=1k,kp<=8k,-0.16,2
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.5463,2
16,n<=32,sr<=40%,kvB<=4k,kp<=1k,-0.2938,2
