pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.0641,6
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,-0.0423,6
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.0543,6
16,n<=32,sr<=40%,kvB<=16k,kp<=1k,0.0243,2
16,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.0272,2
16,n<=32,sr<=40%,kvB<=16k,kp<=4k,0.0275,2
16,n<=32,sr<=40%,kvB<=16k,kp<=512,0.0288,2
16,n<=32,sr<=40%,kvB<=16k,kp<=8k,-0.0296,2
16,n<=32,sr<=40%,kvB<=16k,kp=0,0.0326,2
16,n<=32,sr<=40%,kvB<=1k,kp<=1k,-0.0563,2
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,-0.0711,2
16,n<=32,sr<=40%,kvB<=1k,kp<=4k,-0.0895,2
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.0938,2
16,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.0817,2
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.2969,2
16,n<=32,sr<=40%,kvB<=4k,kp<=1k,0.0132,2
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,0.0094,2
16,n<=32,sr<=40%,kvB<=4k,kp<=4k,-0.1439,2
16,n<=32,sr<=40%,kvB<=4k,kp<=512,-0.0059,2
16,n<=32,sr<=40%,kvB<=4k,kp<=8k,-0.1077,2
16,n<=32,sr<=40%,kvB<=4k,kp=0,-0.0204,2
16,n<=32,sr<=5%,kvB<=16k,kp<=1k,0.0732,2
16,n<=32,sr<=5%,kvB<=16k,kp<=2k,0.0765,2
16,n<=32,sr<=5%,kvB<=16k,kp<=4k,0.0566,2
16,n<=32,sr<=5%,kvB<=16k,kp<=512,0.0784,2
16,n<=32,sr<=5%,kvB<=16k,kp<=8k,-0.0222,2
16,n<=32,sr<=5%,kvB<=16k,kp=0,0.0845,2
16,n<=32,sr<=5%,kvB<=1k,kp<=1k,0.0208,2
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,0.0028,2
16,n<=32,sr<=5%,kvB<=1k,kp<=4k,0.0151,2
16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.1816,2
16,n<=32,sr<=5%,kvB<=1k,kp<=8k,0.0067,2
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.289,2
16,n<=32,sr<=5%,kvB<=4k,kp<=1k,0.109,2
16,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.0061,2
16,n<=32,sr<=5%,kvB<=4k,kp<=4k,-0.0213,2
16,n<=32,sr<=5%,kvB<=4k,kp<=512,0.1291,2
16,n<=32,sr<=5%,kvB<=4k,kp<=8k,-0.0145,2
16,n<=32,sr<=5%,kvB<=4k,kp=0,0.0941,2
16,n<=32,sr<=70%,kvB<=16k,kp<=1k,-0.0285,2
16,n<=32,sr<=70%,kvB<=16k,kp<=2k,-0.0349,2
16,n<=32,sr<=70%,kvB<=16k,kp<=4k,-0.0032,2
16,n<=32,sr<=70%,kvB<=16k,kp<=512,-0.0324,2
16,n<=32,sr<=70%,kvB<=16k,kp<=8k,0.1592,2
16,n<=32,sr<=70%,kvB<=16k,kp=0,-0.0137,2
16,n<=32,sr<=70%,kvB<=1k,kp<=1k,0.3353,2
16,n<=32,sr<=70%,kvB<=1k,kp<=2k,-0.094,2
16,n<=32,sr<=70%,kvB<=1k,kp<=4k,-0.0844,2
16,n<=32,sr<=70%,kvB<=1k,kp<=512,0.3096,2
16,n<=32,sr<=70%,kvB<=1k,kp<=8k,-0.1601,2
16,n<=32,sr<=70%,kvB<=1k,kp=0,0.2487,2
16,n<=32,sr<=70%,kvB<=4k,kp<=1k,0.0261,2
16,n<=32,sr<=70%,kvB<=4k,kp<=2k,0.2068,2
16,n<=32,sr<=70%,kvB<=4k,kp<=4k,0.2213,2
16,n<=32,sr<=70%,kvB<=4k,kp<=512,-0.0272,2
16,n<=32,sr<=70%,kvB<=4k,kp<=8k,0.0302,2
16,n<=32,sr<=70%,kvB<=4k,kp=0,-0.0246,2
16,n<=32,sr>70%,kvB<=16k,kp<=1k,0.2261,4
16,n<=32,sr>70%,kvB<=16k,kp<=2k,0.201,4
16,n<=32,sr>70%,kvB<=16k,kp<=4k,0.1953,4
16,n<=32,sr>70%,kvB<=16k,kp<=512,0.2201,4
16,n<=32,sr>70%,kvB<=16k,kp<=8k,0.1681,4
16,n<=32,sr>70%,kvB<=16k,kp=0,0.28,4
16,n<=32,sr>70%,kvB<=1k,kp<=1k,0.0605,4
16,n<=32,sr>70%,kvB<=1k,kp<=2k,-0.826,4
16,n<=32,sr>70%,kvB<=1k,kp<=4k,-0.4596,4
16,n<=32,sr>70%,kvB<=1k,kp<=512,0.2401,4
16,n<=32,sr>70%,kvB<=1k,kp<=8k,0.324,4
16,n<=32,sr>70%,kvB<=1k,kp=0,0.561,4
16,n<=32,sr>70%,kvB<=4k,kp<=1k,0.2313,4
16,n<=32,sr>70%,kvB<=4k,kp<=2k,0.2085,4
16,n<=32,sr>70%,kvB<=4k,kp<=4k,-0.4716,4
16,n<=32,sr>70%,kvB<=4k,kp<=512,0.2329,4
16,n<=32,sr>70%,kvB<=4k,kp<=8k,-1.0067,4
16,n<=32,sr>70%,kvB<=4k,kp=0,0.2888,4
16,n<=4,sr<=40%,kvB<=16k,kp<=1k,-0.2106,2
16,n<=4,sr<=40%,kvB<=16k,kp<=2k,-0.3087,2
16,n<=4,sr<=40%,kvB<=16k,kp<=4k,-0.1077,2
16,n<=4,sr<=40%,kvB<=16k,kp<=512,-0.0466,2
16,n<=4,sr<=40%,kvB<=16k,kp<=8k,0.1903,2
16,n<=4,sr<=40%,kvB<=16k,kp=0,0.2483,2
16,n<=4,sr<=40%,kvB<=1k,kp<=1k,0.0008,2
16,n<=4,sr<=40%,kvB<=1k,kp<=2k,-0.0102,2
16,n<=4,sr<=40%,kvB<=1k,kp<=4k,-0.0091,2
16,n<=4,sr<=40%,kvB<=1k,kp<=512,0.0276,2
16,n<=4,sr<=40%,kvB<=1k,kp<=8k,-0.004,1
16,n<=4,sr<=40%,kvB<=1k,kp=0,0.5979,5
16,n<=4,sr<=40%,kvB<=4k,kp<=1k,0.0155,2
16,n<=4,sr<=40%,kvB<=4k,kp<=2k,-0.0502,2
16,n<=4,sr<=40%,kvB<=4k,kp<=4k,-0.1434,2
16,n<=4,sr<=40%,kvB<=4k,kp<=512,0.0015,2
16,n<=4,sr<=40%,kvB<=4k,kp<=8k,0.0307,2
16,n<=4,sr<=40%,kvB<=4k,kp=0,0.0205,3
16,n<=4,sr<=70%,kvB<=16k,kp<=1k,-0.2169,2
16,n<=4,sr<=70%,kvB<=16k,kp<=2k,-0.3856,2
16,n<=4,sr<=70%,kvB<=16k,kp<=4k,-0.0292,2
16,n<=4,sr<=70%,kvB<=16k,kp<=512,-0.3579,2
16,n<=4,sr<=70%,kvB<=16k,kp<=8k,-0.2108,1
16,n<=4,sr<=70%,kvB<=16k,kp=0,0.0232,2
16,n<=4,sr<=70%,kvB<=1k,kp<=1k,0.0348,2
16,n<=4,sr<=70%,kvB<=1k,kp<=2k,-0.0648,1
16,n<=4,sr<=70%,kvB<=1k,kp<=4k,-0.6445,1
16,n<=4,sr<=70%,kvB<=1k,kp<=512,1.9375,2
16,n<=4,sr<=70%,kvB<=1k,kp<=8k,0.2647,2
