label,status,topology,panel,ep_nominal,ep,wg_count,intra_opt_bw,ttft_ms,tpot_ms,lat_ms,ttft_p50_ms,tpot_p50_ms,n_reqs,elapsed_s,stderr,error
fb_6x6_ep8n_ep8_wg2_bw256,ok,fb,6x6,8,8,2,256,6.756935,4.9712925,434.142384,8.171003,4.979867,2,168.71024441719055,,
fb_6x6_4c_ep8n_ep8_wg4_bw512,ok,fb,6x6_4c,8,8,4,512,7.5215295,5.07808,446.814625,9.756304,5.229739,2,169.18900656700134,,
fb_4x4_ep8n_ep8_wg4_bw512,ok,fb,4x4,8,8,4,512,6.65447,4.9682034999999996,433.7753905,7.971785,4.976712,2,168.40268731117249,,
fb_6x6_ep8n_ep8_wg4_bw512,ok,fb,6x6,8,8,4,512,6.65447,4.9682034999999996,433.7753905,7.971785,4.976712,2,168.9276623725891,,
fb_6x6_4c_ep8n_ep8_wg6_bw768,ok,fb,6x6_4c,8,8,6,768,7.498058500000001,5.077394,446.732408,9.711042,5.229067,2,168.6988914012909,,
fb_4x4_ep8n_ep8_wg6_bw768,ok,fb,4x4,8,8,6,768,6.630615,4.9675075,433.6920695,7.925755,4.975992,2,168.16680884361267,,
fb_6x6_ep8n_ep8_wg6_bw768,ok,fb,6x6,8,8,6,768,6.630615,4.9675075,433.6920695,7.925755,4.975992,2,168.2865867614746,,
fb_6x6_4c_ep8n_ep8_wg8_bw1024,ok,fb,6x6_4c,8,8,8,1024,7.4756435,5.0767185,446.651965,9.667556,5.228395,2,169.40618753433228,,
fb_4x4_ep8n_ep8_wg8_bw1024,ok,fb,4x4,8,8,8,1024,6.608104,4.966825500000001,433.6110985,7.882077,4.9753,2,168.26932668685913,,
fb_6x6_ep8n_ep8_wg8_bw1024,ok,fb,6x6,8,8,8,1024,6.608104,4.966825500000001,433.6110985,7.882077,4.9753,2,168.34329223632812,,
fb_6x6_4c_ep16n_ep16_wg2_bw256,ok,fb,6x6_4c,16,16,2,256,5.9776275000000005,2.7559275,243.009212,6.682102,2.757208,2,363.4735288619995,,
fb_4x4_ep16n_ep16_wg2_bw256,ok,fb,4x4,16,16,2,256,5.9216275,2.809942,247.59839799999997,6.516102,2.81122,2,362.8167715072632,,
fb_6x6_ep16n_ep16_wg2_bw256,ok,fb,6x6,16,16,2,256,5.9216275,2.809942,247.59839799999997,6.516102,2.81122,2,362.65491771698,,
fb_6x6_4c_ep16n_ep16_wg4_bw512,ok,fb,6x6_4c,16,16,4,512,6.26307,2.7501675,242.799301,7.262347,2.751448,2,362.6878228187561,,
fb_4x4_ep16n_ep16_wg4_bw512,ok,fb,4x4,16,16,4,512,6.20707,2.804182,247.388487,7.096347,2.80546,2,362.2088568210602,,
fb_6x6_ep16n_ep16_wg4_bw512,ok,fb,6x6,16,16,4,512,6.20707,2.804182,247.388487,7.096347,2.80546,2,364.17111349105835,,
fb_6x6_4c_ep16n_ep16_wg6_bw768,ok,fb,6x6_4c,16,16,6,768,6.209070499999999,2.7487275,242.621463,7.156508,2.750008,2,363.4293451309204,,
fb_4x4_ep16n_ep16_wg6_bw768,ok,fb,4x4,16,16,6,768,6.1530705,2.8027420000000003,247.210649,6.990508,2.80402,2,362.39820647239685,,
fb_6x6_ep16n_ep16_wg6_bw768,ok,fb,6x6,16,16,6,768,6.1530705,2.8027420000000003,247.210649,6.990508,2.80402,2,362.31886553764343,,
fb_6x6_4c_ep16n_ep16_wg8_bw1024,ok,fb,6x6_4c,16,16,8,1024,6.1561509999999995,2.7472875,242.444705,7.052829,2.748568,2,363.0690197944641,,
fb_4x4_ep16n_ep16_wg8_bw1024,ok,fb,4x4,16,16,8,1024,6.100151,2.8013019999999997,247.03389099999998,6.886829,2.80258,2,362.3569848537445,,
fb_6x6_ep16n_ep16_wg8_bw1024,ok,fb,6x6,16,16,8,1024,6.100151,2.8013019999999997,247.03389099999998,6.886829,2.80258,2,362.43622398376465,,
fb_6x6_4c_ep32n_ep32_wg2_bw256,ok,fb,6x6_4c,32,32,2,256,6.436704000000001,3.311823,291.272376,7.088968,3.312932,2,775.1146297454834,,
fb_4x4_ep32n_ep32_wg2_bw256,ok,fb,4x4,32,32,2,256,6.53403,3.3139135,291.542815,7.275739,3.314629,2,740.9321150779724,,
fb_6x6_4c_ep32n_ep32_wg4_bw512,ok,fb,6x6_4c,32,32,4,512,6.501465,3.299919,290.3133965,7.23337,3.301028,2,776.2956702709198,,
fb_4x4_ep32n_ep32_wg4_bw512,ok,fb,4x4,32,32,4,512,6.6121099999999995,3.3023935,290.630175,7.447019,3.303109,2,739.3576602935791,,
fb_6x6_4c_ep32n_ep32_wg6_bw768,ok,fb,6x6_4c,32,32,6,768,6.391353499999999,3.296943,289.94735049999997,7.017611,3.298052,2,772.0932698249817,,
fb_4x4_ep32n_ep32_wg6_bw768,ok,fb,4x4,32,32,6,768,6.48035,3.2987935,290.188815,7.187819,3.299509,2,737.9710125923157,,
fb_6x6_4c_ep32n_ep32_wg8_bw1024,ok,fb,6x6_4c,32,32,8,1024,6.7834735,3.293967,290.083535,7.804827,3.295076,2,777.716614484787,,
fb_4x4_ep32n_ep32_wg8_bw1024,ok,fb,4x4,32,32,8,1024,6.40151,3.2966335,289.924215,7.033019,3.297349,2,741.6096565723419,,
fb_6x6_4c_ep64n_ep64_wg2_bw256,ok,fb,6x6_4c,64,64,2,256,6.8712815,3.8397755,337.11427549999996,7.476539,3.841084,2,1613.9587361812592,,
fb_4x4_ep64n_ep64_wg2_bw256,ok,fb,4x4,64,64,2,256,8.734397999999999,4.321873,380.43786,10.715323,4.323187,2,1529.4402704238892,,
fb_6x6_4c_ep64n_ep64_wg4_bw512,ok,fb,6x6_4c,64,64,4,512,7.0074974999999995,3.8159675,335.2030035,7.775755,3.817276,2,1629.101547241211,,
fb_4x4_ep64n_ep64_wg4_bw512,ok,fb,4x4,64,64,4,512,7.897758,4.298833,377.61978,9.068683,4.300147,2,1523.5558660030365,,
fb_6x6_4c_ep64n_ep64_wg6_bw768,ok,fb,6x6_4c,64,64,6,768,7.2366814999999995,3.8085275,334.7923475,8.243051,3.809836,2,1593.252746105194,,
fb_4x4_ep64n_ep64_wg6_bw768,ok,fb,4x4,64,64,6,768,7.636398,4.291633,376.73922,8.553883,4.292947,2,1521.39417719841,,
fb_6x6_4c_ep64n_ep64_wg8_bw1024,ok,fb,6x6_4c,64,64,8,1024,7.0752334999999995,3.8040635,334.2469955,7.924619,3.805372,2,1645.6004774570465,,
fb_4x4_ep64n_ep64_wg8_bw1024,ok,fb,4x4,64,64,8,1024,7.479798000000001,4.287313,376.2111,8.245723,4.288627,2,1592.8360254764557,,
